artist,song,comment
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,이게 트랜드라는 거구나 처음에 들었을 때 별로였는데 꾸역꾸역 찾아오게 되고 한번 더 듣고 또 듣고 그러다보니 좋아지게 되네 ㅋㅋ
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,안나오면 쳐들어간다 보고오신분?
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,소주과일~석류과일~
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,천국의계단 열심히타고 런닝머신 뛰면서 노래 연습한 이유가 있구나. 아일릿 너무 고생했어. 넘 사랑해.
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,아니 초반에 원희 점프하면서 가는거 ㄹㅇ귀여움
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,아일릿은 나의 bias ! 너무 중독적인 곡이야 들어도 들어도 안질려
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,후크 중독성 진짜 강한 노래네요 특히 민주가 말도 안되게 예쁘게 나온 영상입니다 판타지 애니에 나오는 엘프인 줄 알았음
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,아니 이거는 완전히 대박이다…….. 꼭 날리나는거야.. from Japan
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,이거 진짜 대박날거 같음 수십분째 반복해서 듣고 있음
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,매일 뾰로롱거리는 마법소녀 아일릿 코어만 하다가 이번엔 테크노라니 새롭고 좋다..... 하우스 붐에 이어 테크노 붐이 오려나
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,신곡 비트부터 안무까지 너무 마음에 든다..❤
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,르세라핌도 아일릿도 요즘 하이브 내에 테크노클럽을 만들었나 봅니다 1:37 이부분 중독성있어요!
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,이게 소주과일 석류과일 노래인가 ?
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,르세라핌도 아일릿도 요즘 하이브 내에 테크노클럽을 만들었나 봅니다 1:37 이부분 중독성있어요!
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,진짜 노래 중독성 쩌네 뭔가 휘몰아치는 느낌ㅋㅋ
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,곡과 안무가 왜이리 재밌냐 ㅋㅋ 라이브 기다려진다 ㅎㅎ
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,방탄팬이지만 아일릿 응원한다
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,진짜 이제까지 내던 노래랑은 완전 다른 깔인데 노래 너무 신나고 벌써 중독돼버림 아일릿 더 흥하자
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,볼수록 너무 좋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ILLIT,ILLIT (아일릿) ‘It’s Me’ Official MV,이번 안무 진짜 장난아니다ㅋㅋㅋㅋㅋ 거의 젤리어스2.0임 이걸 어떻게 라이브로 함..
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,💘 NCT WISH's MV Commentary 💘 #SION #시온 #シオン 3:07 엔딩 장면을 혼자 찍을 때 감독님이 너무 예쁘다고 해주셔서 기분 좋았지만 아무래도 웃고 있는 씬은 아니다 보니 웃참하기 쉽지 않았어요 ㅋㅋ 1:32 여기는 매트를 깔아두고 그 위에서 스스로 넘어지는 연기를 해야 하는 장면이었는데요! 액션 감독님이 액션 잘 한다고 최애라고 칭찬해주셔서 더 열심히 넘어졌어요 다행히 리얼하게 나온 것 같아요 0:00 시즈니 Ode to Love 많이 많이 사랑해줘서 진심으로 감사드려요 덕분에 너무 너무 행복해요!!! 앞으로도 열심히 할게요 Ode to Love 많이 사랑해주세요💚 #RIKU #리쿠 #リク 0:54 여기는 숲속이라는 장소가 넘 예뻐가지구 저희는 춤의 디테일이나 예쁜 표정에 집중했던 것 같아요! 2:02 료와 함께 누워서 찍은 여기 어때요? 료랑 자연스럽게 얘기하면서 찍었는데 막상 찍을 때는 좀 어색했어요ㅎㅎ 근데 그게 오히려 웃겨서 웃었어요! 0:00 시즈니! 뮤비 진짜 예쁘니까 많이 사랑해 주셨으면 좋겠어요!😚 #YUSHI #유우시 #ユウシ 1:08 클로즈업 장면을 많이 찍었는데 얼굴이 최대한 예쁘게 나오게 예쁜 표정과 아름다운 표정을 지으려고 노력했습니다! 많이 봐주셨으면 좋겠습니다! 2:14 여기 찍을 때 와이어를 썼는데요. 높이 뛰고 착지를 하는 장면인데 최대한 리얼하게 보이려고 많이 찍었습니다! 그리고 양한테 쫓기는 씬도 속도를 최대한 맞추려고 여러 번 찍었습니다! 시즈니 어떤가요? 0:00 Ode to Love 뮤직비디오 예쁘게 봐주시고 저희 Ode to Love 많이 사랑해 주셨으면 좋겠습니다! #JAEHEE #재희 #ジェヒ 2:20 여기 손 모아 기도하는 컷 어떤가요! 제 소원은 바로 최고의 보컬이 되고 싶어!!!!!! 시즈니의 소원은 무엇인가요? 0:29 그리고 넘어지는 연기를 시즈니도 많이 좋아해 주시는 것 같은데요! 처음에는 미끄러지는 연기를 하려니까 너무 어려워서 이거 '큰일 났다.'라고 생각했어요. 그래도 마지막 쯤에 진짜 살짝 미끄러져서 자연스럽게 나온 거 같아요!! 0:00 시즈니 저희 이번 뮤비도 정말 이쁘게 잘 나왔죠! Ode to Love 듣고 다정한 시즈니의 세상에 다정이 가득했으면 좋겠어요💚 사랑해🫶🏻 #RYO #료 #リョウ 1:43 화살 맞는 장면 어떤가요? 타이밍을 정해서 그 타이밍에 쓰러졌는데 영상에서 멋지게 잘 담긴 것 같아요 1:57 밤이 된 숲에서 촬영을 한 장면들 다 너무 예쁘지 않나요? 나비 날개를 달고 촬영을 했는데 너무 예쁘게 나와서 기분이 좋았어요!! 0:00 저희 뮤비를 봐주셔서 감사합니다!! 열심히 예쁘게 찍었으니 많이 좋아해 주셨으면 좋겠어요!!😆 #SAKUYA #사쿠야 #サクヤ 2:48 여기 찍을 때는 세트장들이 너무 예뻐서 세트장에 지지 않도록 예쁜 표정으로 열심히 해봤습니다!! 시즈니도 여기 좋아할까요? 0:35 다 같이 데굴데굴 굴러가는 장면인데요. 촬영할 때는 꽤 천천히 굴러갔어서 멤버들이랑 '이렇게 하는 거 맞아?' 하면서 했는데 배속으로 나온거 보니까 잘 굴러가더라고요 0:00 저희 이번 Ode to Love 뮤비 너무 예쁘게 나왔죠?? 저희도 열심히 찍었으니까 많이 봐주시면 좋겠고 앞으로도 Ode to Love 많이 사랑해주세요
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,타이틀인 이유를 알았습니다.
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,"라스타트때부터봐왔던 위즈니인데 정말 위시뿐만성장한게아니라, 팬덤도 엄청커지고 팬들도 성장한게보임 예전엔 투표에서나 약했던부분이 이번정규컴백에서 만점받은거에 정말놀랐음..위시는 서사도완벽함 처음엔 대중성이 그렇게많진않아서 전국투어했는데 이젠 KSPO돔,인스파이어에서 콘서트하는아이돌로 성장한게 너무 감동임…울위시 이제 흥할날만남았다 🎉🎉❤"
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,이런 순수한 컨셉의 아이돌이 있다는게 감동임 ㅠㅠ
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,근데 진짜 계속 보면서 느낀건데 성공한 이유중에 진짜 큰 이유가 한국어가사가 많은것도 있는것같아요 요즘 이게 한국노래가 맞나 싶을정도로 한국어가 없는데 위시 노래들은 한국어가 압도적으로 많아서 가사전달도 비교도 안될정도로 잘되고 타팬들도 찾아오는이유이지않을까.. 앞으로도 쭉 한국어가사가 많길
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,난 이게 좋음... 다른 그룹 느낌이나 ‘엔시티’느낌이 강하지 않고 이게 위시느낌이라고 생각해
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,위시가 말아주는 별가루 뿌린 청량은 언제나 옳다
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,즈니들 이번에 스밍 진짜 열심히 해여ㅜㅜ!! 이렇게 좋은데 1위 꼭 해야 될 것 같아요
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,미리 뮤뱅 1위 축하해요 ~
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,멜론보니 차트 씹어먹었던데 지금처럼 해주기를.. 가요대전에 큐티 커버도 계속해주는 상남자 기세가 제대로 먹혔다는걸 잊지말고 초심 유지 부탁요. 축하합니다🎉
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,우리 위시 2관왕 너무 축하해ㅠㅠ근데 위즈니들 첫 정규인데 3관왕은 가야죠 그쵸 여기서 멈추지 말고 3관왕 안겨주게 열스 빡세게 돌려보자고 울애들 기 살려줘야지 화력 가보자고오오
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,노래가 왤케 감동적이냐.. 아무리 스티키가 좋다지만 타이틀인 이유를 너무 알겠다
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,"애들아성공했다… 수고했다,"
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,"누가 타이틀감 아니래! 오투럽 너 최고의 타이틀이야,,위시가 위시했다!"
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,스티키 같은 컨셉 오드투러브 같은 컨셉 동시에 소화할 수 있는 위시가 새삼 감동적이다
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,오히려 선공개해서 노래가 익숙한 상태로 뮤비 보니까 더 좋은데 막 따라불러짐
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,영어 가사만 난무하는 이 시대에 예쁜 한국어 가사들 가득 담겨있는 위시다움이 너무 좋음… 으아앙ㅠㅠ 위즈니라서 행복합니다
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,와 진짜...세상 살면서 처음느껴보는 깔끔한데 상큼한? 뭐라해야될지 표현도 잘 못하겠는 감정들을 위시한테서 많이느껴서 너무 위시를 사랑하게 되...
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,내가 팬이라서 하는말 아니고 위시는 음악 스펙트럼이 진짜 넓음 타이틀곡 나오기 전에 sticky vs 2.0 vs 오투럽 파 나뉘어서 싸운것도 어울리는게 너무 많았어서 그런거임
NCT,NCT WISH 엔시티 위시 &#39;Ode to Love&#39; MV,신나는 노래 같은데 왜 눈물이 날거같지ㅋㅋㅋ... 노래 좋다
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,Top5를 top100안으로 드가자를 드가자
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,"Mv도 보고 컴백 프리미어도 봤는데, 그 전 셜록 무대에서도 느꼈지만 보컬도 댄스도 의지도 훨씬 단단해진 느낌! 9명이 채우던 무대를 5명이 채우는 것 부담이 상당했을텐데 멋지게 이겨냈다! 이전보다 zb1이 더 좋아졌어!! 꼭 음방 1위했으면 좋겠다. 그럴 자격이 충분하다!"
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,얘드라 이번에 꼭 음악방송 그랜드슬램 시켜줄게 ㅜㅜㅜ
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,타돌 덕질하는 사람이 들어도 한번더 들을 것 같음 노래 되게 잘 뽑은듯
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,이거 안뜨면 케이팝시장 문제있는거임
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,멤버들이 하나하나 다 잘 보이고 음색도 좋은데 가창력도 정말 디테일있게 발전한 게 느껴져서 들을수록 더 좋아❤
ZEROBASEONE,ZEROBASEONE (제로베이스원) &#39;TOP 5&#39; MV,그냥 순수하게 노래가 좋아서 계속 듣게 됨
